#
fever of \d+	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever of \d+ F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever of \d+ degrees	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever of \d+ degrees F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever to \d+	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever to \d+ F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever to \d+ degrees	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever to \d+ degrees F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever up to \d+	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever up to \d+ F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever up to \d+ degrees	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever up to \d+ degrees F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers of \d+	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers of \d+ F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers of \d+ degrees	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers of \d+ degrees F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers to \d+	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers to \d+ F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers to \d+ degrees	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers to \d+ degrees F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers up to \d+	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers up to \d+ F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers up to \d+ degrees	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers up to \d+ degrees F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers \d+	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers \d+ F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers \d+ degrees	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers \d+ degrees F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever \d+	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever \d+ F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever \d+ degrees	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever \d+ degrees F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever	edu.utah.bmi.type.system.Fever_present	ACTUAL
Fever	edu.utah.bmi.type.system.Fever_present	ACTUAL
FEVER	edu.utah.bmi.type.system.Fever_present	ACTUAL
FEVERS	edu.utah.bmi.type.system.Fever_present	ACTUAL
fevers	edu.utah.bmi.type.system.Fever_present	ACTUAL
Fevers	edu.utah.bmi.type.system.Fever_present	ACTUAL
febrile	edu.utah.bmi.type.system.Fever_present	ACTUAL
Febrile	edu.utah.bmi.type.system.Fever_present	ACTUAL
afebrile	edu.utah.bmi.type.system.Fever_absent	ACTUAL
afebrile at \d+	edu.utah.bmi.type.system.Fever_absent	ACTUAL
afebrile at \d+ degree	edu.utah.bmi.type.system.Fever_absent	ACTUAL
afebrile at \d+ degrees	edu.utah.bmi.type.system.Fever_absent	ACTUAL
afebrile at \d+ F	edu.utah.bmi.type.system.Fever_absent	ACTUAL
#
Afebrile	edu.utah.bmi.type.system.Fever_absent	ACTUAL
Afebrile at \d+	edu.utah.bmi.type.system.Fever_absent	ACTUAL
Afebrile at \d+ degree	edu.utah.bmi.type.system.Fever_absent	ACTUAL
Afebrile at \d+ degrees	edu.utah.bmi.type.system.Fever_absent	ACTUAL
Afebrile at \d+ F	edu.utah.bmi.type.system.Fever_absent	ACTUAL

Tmax \d+	edu.utah.bmi.type.system.Fever_present	ACTUAL
febrile to \d+	edu.utah.bmi.type.system.Fever_present	ACTUAL
febrile to \d+ F	edu.utah.bmi.type.system.Fever_present	ACTUAL
febrile of \d+	edu.utah.bmi.type.system.Fever_present	ACTUAL
febrile of \d+ F	edu.utah.bmi.type.system.Fever_present	ACTUAL

fever greater than \d+	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever greater than \d+ F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever greater than \d+ degree F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever greater than \d+ degrees F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever greater than \d+ degree	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever greater than \d+ degrees	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever > \d+	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever > \d+ F	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever > \d+ degree	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever > \d+ degrees	edu.utah.bmi.type.system.Fever_present	ACTUAL
fever > \d+ F degree	edu.utah.bmi.type.system.Fever_present	ACTUAL
